Handle,Body HTML,Details,Dimensions
luxury-nightstand,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Dimensions (in): 20"" W x 15"" D x 15"" H."
luxury-dresser,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Dimensions (in): 59"" W x 19"" D x 30"" H."
luxury-mirror,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Dimensions (in): 39"" W x 1"" D x 31.5"" H."
luxury-wardrobe,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Dimensions (in): 71"" W x 23"" D x 83"" H."
luxury-wardrobe,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Option: 36"" W x 23"" D x 83"" H."
luxury-chest,"If you want a European bedroom that looks modern then this set is a sophisticated match for your taste.  Every single piece is created in Italy. The intricate ornaments will not go ignored.  The bed has optional storage compartment. The 8-drawer dresser and 2-drawer nightstands share the same elegant attributes which is obvious by the mere sight of its long metallic handles. 
<font color=""red"">Storage platform of this bed requires professional assembling!!!</font> ","Color: white, brown, wenge, walnut.
Material: eco leather, wood veneer.
Finish: mat, shiny.","Dimensions (in): 36"" W x 19"" D x 43"" H."
evolution-chest,Elegant bedroom furniture with upholstered headboard and chromed details.,"Color: brown, wnge, walnut, grey, silver.
Material: wood-based panel.
Finish: mat.","Dimensions (in): 27"" W x 19"" D x 52"" H."
evolution-mirror,Elegant bedroom furniture with upholstered headboard and chromed details.,"Color: brown, wnge, walnut, grey, silver.
Material: wood-based panel.
Finish: mat.","Dimensions (in): 47"" W x 1"" D x 39"" H."
evolution-nightstand,Elegant bedroom furniture with upholstered headboard and chromed details.,"Color: brown, wnge, walnut, grey, silver.
Material: wood-based panel.
Finish: mat.","Dimensions (in): 27"" W x 15"" D x 23"" H."
evolution-dresser,Elegant bedroom furniture with upholstered headboard and chromed details.,"Color: brown, wnge, walnut, grey, silver.
Material: wood-based panel.
Finish: mat.","Dimensions (in): 63"" W x 19"" D x 33"" H."
onda-legno-nightstand,The Onda Legno White Bedroom furniture Set is a beautiful a set of furniture and will leave customers why they couldn't buy this elegant set for every bedroom in the house!,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 17"" D x 21"" H."
onda-legno-dresser,The Onda Legno White Bedroom furniture Set is a beautiful a set of furniture and will leave customers why they couldn't buy this elegant set for every bedroom in the house!,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 19"" D x 31"" H."
onda-legno-dresser,The Onda Legno White Bedroom furniture Set is a beautiful a set of furniture and will leave customers why they couldn't buy this elegant set for every bedroom in the house!,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 53"" W x 19"" D x 31"" H."
onda-legno-mirror,The Onda Legno White Bedroom furniture Set is a beautiful a set of furniture and will leave customers why they couldn't buy this elegant set for every bedroom in the house!,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 47"" W x 2"" D x 36"" H."
onda-legno-wardrobe,The Onda Legno White Bedroom furniture Set is a beautiful a set of furniture and will leave customers why they couldn't buy this elegant set for every bedroom in the house!,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 73"" W x 24"" D x 90"" H."
carmen-walnut-nightstand,One of a kind modern design in clean walnut color.,"Color: brown, wenge, walnut.
Material: fabric, glass, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 26"" W x 18"" D x 19"" H."
carmen-walnut-dresser,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 63"" W x 65"" D x 38"" H."
carmen-walnut-dresser,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 18"" W x 50"" D x 45"" H."
carmen-walnut-chest,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 16"" D x 49"" H."
carmen-walnut-wardrobe,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 24"" D x 67"" H."
carmen-walnut-mirror,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 63"" W x 4"" D x 40"" H."
carmen-walnut-mirror,One of a kind modern design in clean walnut color.,"Color: black, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 40"" W x 4"" D x 40"" H."
monica-nightstand,Modern Bedroom Set made in Spain.,"Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 24"" W x 16"" D x 23"" H."
monica-dresser,Modern Bedroom Set made in Spain.,"Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 44"" W x 18"" D x 35"" H."
monica-mirror,Modern Bedroom Set made in Spain.,"Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 42"" W x 1"" D x 28"" H."
liberty-nightstand,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 29.13"" W x 18.9"" D x 24.8"" H."
liberty-dresser,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 57.87"" W x 22.05"" D x 36.61"" H."
liberty-mirror,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 39.76"" W x 1.18"" D x 44.88"" H."
liberty-vanity-dresser,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 75.98"" W x 22.44"" D x 29.53"" H."
liberty-vanity-mirror,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 69"" W x 2"" D x 45"" H."
liberty-wardrobe,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.",
liberty-wardrobe,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.",
aida-nightstand,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22"" W x 15"" D x 21"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 17"" D x 31"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 49"" W x 17"" D x 31"" H."
aida-mirror,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 41"" W x 3"" D x 47"" H."
aida-vanity-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 69"" W x 15"" D x 30"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 70"" W x 21"" D x 86"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 36"" W x 17"" D x 67"" H."
aida-nightstand,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22"" W x 15"" D x 21"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 17"" D x 31"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 49"" W x 17"" D x 31"" H."
aida-vanity-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 69"" W x 15"" D x 31"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 36"" W x 17"" D x 67"" H."
ronda-dali-wardrobe,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 35.98"" W x 23.7"" D x 82.67"" H."
ronda-dali-nightstand,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 15.59"" H."
ronda-dali-dresser,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 58.27"" W x 19.49"" D x 32.91"" H."
ronda-dali-dresser,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 46.46"" W x 19.21"" D x 36.61"" H."
ronda-dali-mirror,"High Gloss Finish White and  Light Grey Modern Bedroom from Spain. 
Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 39.37"" W x 0.91"" D x 39.37"" H."
ronda-dali-chest,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22.83"" W x 18.5"" D x 46.06"" H."
ronda-dali-floor-mirror,High Gloss Finish White and  Light Grey Modern Bedroom from Spain. ,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 1.57"" D x 76.46"" H."
aida-vanity-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 69"" W x 15"" D x 30"" H."
aida-nightstand,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 22"" W x 15"" D x 21"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 17"" D x 31"" H."
aida-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 49"" W x 17"" D x 31"" H."
aida-mirror,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 41"" W x 3"" D x 47"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 70"" W x 21"" D x 86"" H."
aida-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. The optional man's chest and 4-door wardrobes are available for order at any time at your convenience. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Option: 36"" W x 17"" D x 67"" H."
luna-wardrobe,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-wardrobe,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-wardrobe,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-wardrobe,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-wardrobe,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-nightstand,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
luna-dresser,"The ‘half-moon’ motive of the drawer fronts makes this collection unique, giving a special aesthetic value reminiscent of the masterpieces. Modern Bedroom Furniture Set. Color the same as Storm collection. Can use ns, dresser and mirror from Storm to match the bed.","Color: brown, wenge, walnut.
Material: fabric, wood veneer, MDF.
Finish: mat.",
melodia-mirror,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 44.88"" W x 1.57"" D x 34.25"" H."
melodia-dresser,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 57.48"" W x 26.38"" D x 35.43"" H."
melodia-vanity-mirror,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 57.48"" W x 1.57"" D x 36.61"" H."
melodia-wardrobe,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 108.27"" W x 27.95"" D x 99.21"" H."
melodia-wardrobe,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Option: 84.65"" W x 27.95"" D x 88.98"" H."
melodia-nightstand,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 27.95"" W x 19.69"" D x 25.59"" H."
melodia-vanity-dresser,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 84.64"" W x 19.69"" D x 33.46"" H."
melodia-chest,"Luxury Classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: yellow, gold, light beige.
Material: wood veneer, metal.
Finish: high gloss lacquer, mat.","Dimensions (in): 28.74"" W x 20.47"" D x 53.54"" H."
dama-bianca-glass-wardrobe,4 Door White Dama Bianca Wardrobe is a beautiful and useful addition to any white bedroom . ,"Color: white.
Material: wood veneer, glass, MDF.
Finish: high gloss lacquer.","Dimensions (in): 73"" W x 24"" D x 90"" H."
momo-wardrobe,2 Door White Momo Wardrobe is a beautiful and useful addition to any white bedroom . ,"Color: white.
Material: wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 34"" W x 21.5"" D x 83"" H."
elite-dresser,"This platform bedroom set will create a visual fantasy in your bedroom using traditional shapes in the modern interpretation. 
The standard set is composed of a platform bed, two nightstands, dresser and a mirror. The optional vanity dresser, chest and ottoman can be added for your ultimate convenience.","Color: grey, silver.
Material: fabric, wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 19"" D x 33"" H."
elite-mirror,"This platform bedroom set will create a visual fantasy in your bedroom using traditional shapes in the modern interpretation. 
The standard set is composed of a platform bed, two nightstands, dresser and a mirror. The optional vanity dresser, chest and ottoman can be added for your ultimate convenience.","Color: grey, silver.
Material: fabric, wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 42"" W x 1"" D x 40"" H."
elite-nightstand,"This platform bedroom set will create a visual fantasy in your bedroom using traditional shapes in the modern interpretation. 
The standard set is composed of a platform bed, two nightstands, dresser and a mirror. The optional vanity dresser, chest and ottoman can be added for your ultimate convenience.","Color: grey, silver.
Material: fabric, wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 23"" W x 17"" D x 24"" H."
elite-ottoman,"This platform bedroom set will create a visual fantasy in your bedroom using traditional shapes in the modern interpretation. 
The standard set is composed of a platform bed, two nightstands, dresser and a mirror. The optional vanity dresser, chest and ottoman can be added for your ultimate convenience.","Color: grey, silver.
Material: fabric, wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 16"" W x 16"" D x 16"" H."
elite-vanity-dresser,"This platform bedroom set will create a visual fantasy in your bedroom using traditional shapes in the modern interpretation. 
The standard set is composed of a platform bed, two nightstands, dresser and a mirror. The optional vanity dresser, chest and ottoman can be added for your ultimate convenience.","Color: grey, silver.
Material: fabric, wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 19"" D x 33"" H."
leonardo-dresser,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 18"" D x 30"" H."
leonardo-mirror,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 58"" W x 3"" D x 42"" H."
